,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
284,0.4404,0.0,0.0,0.162,@CNN,2018-10-08 04:48:21,@thenank001 @Ganulvian @dwood_bucket @Theresa19260346 @kerk20852 @CNN My 7/8 grade students know better than to spe… https://t.co/hKqoc0fu8k,64
285,-0.9245,0.458,0.458,0.055,@CNN,2018-10-08 04:48:19,"RT @Ostrov_A: I’m starting to understand the growing gross distrust of mainstream media!

Palestinian terrorist savagely ties up two Israel…",65
286,-0.5574,0.194,0.194,0.0,@CNN,2018-10-08 04:48:19,RT @CNN: More than 250 people around the world have died taking selfies since 2011 https://t.co/gtCeEcT70o,66
287,-0.3818,0.126,0.126,0.0,@CNN,2018-10-08 04:48:19,"RT @LogCabinGOP: Past tweets reveal @CNN reporter @kaitlancollins called people “fag” and was uncomfortable around lesbians.

cc: @CNNPR @m…",67
288,-0.5574,0.277,0.277,0.0,@CNN,2018-10-08 04:48:19,"Planet has only until 2030 to stem catastrophic climate change, experts warn @CNN https://t.co/t99d6iwiQZ",68
289,-0.7236,0.21,0.21,0.0,@CNN,2018-10-08 04:48:19,"RT @Ostrov_A: Really @CNN? A ‘workplace shooting’?

A Palestinian terrorist ties up a young mother and shoots her in cold blood in #Barkan,…",69
290,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:48:18,@KimHardy1976 @gregorytangelo @JackPosobiec @kaitlancollins @CNN Ahaha touché 👍😂😂😂,70
291,0.296,0.0,0.0,0.121,@CNN,2018-10-08 04:48:18,RT @rbd1962: @mdornic @Cernovich @LogCabinGOP @CNN @kaitlancollins @CNNPR @SamFeistCNN @DavidChalian cause she shares your views today? jus…,71
292,0.1027,0.0,0.0,0.219,@CNN,2018-10-08 04:48:15,"@BobLagueuxCSN @CNN You are kidding, right?",72
293,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:48:15,RT @ChabadLubavitch: @Ostrov_A @CNN @EmmanuelNahshon @LTCPeterLerner @AvivaKlompas @StandWithUs @IdoDaniel @HonestReporting @adamlevick @ng…,73
294,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:48:15,@maydaymindy9 @MSNBC @CNN I don't watch TV but do read the NY Times on Sunday. Didn't read the giant spread on the… https://t.co/X1cUrkfNAP,74
295,0.4404,0.0,0.0,0.153,@CNN,2018-10-08 04:48:11,RT @Axey76: @mdornic @Cernovich @LogCabinGOP @CNN @kaitlancollins @CNNPR @SamFeistCNN @DavidChalian It’s a good thing it was a college twee…,75
296,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:48:07,@CNN by rigging,76
297,0.6988,0.0,0.0,0.308,@CNN,2018-10-08 04:48:06,"@mdornic @LogCabinGOP @CNN @kaitlancollins @CNNPR @SamFeistCNN @DavidChalian Oh well, Case Closed!! The ""Proud Gay… https://t.co/2OkAkagqn5",77
298,0.1406,0.0,0.0,0.069,@CNN,2018-10-08 04:48:05,@CLewandowski_ She went after a well regarded Man based on zero proof of a 35 yr old allegation- but not only did t… https://t.co/Idjv3Cdaqe,78
299,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:48:04,@LogCabinGOP @CNN @kaitlancollins @CNNPR @mdornic @SamFeistCNN @DavidChalian If you guys are going to concern yours… https://t.co/S6DPXQTaEC,79
300,-0.4019,0.218,0.218,0.115,@CNN,2018-10-08 04:48:04,@CNN Surprised he got that high. Trumpy is destroying everything a step at a time.,80
301,0.3802,0.0,0.0,0.12,@CNN,2018-10-08 04:48:02,RT @gregorytangelo: How can we expect fair reporting on LGBT issues from @kaitlancollins on @CNN after she tweeted this?! https://t.co/TTBf…,81
302,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:48:01,"First man on the Moon!!💖
Neil Armstrong's private collection up for auction @CNN https://t.co/Qk4Z4fGQ52",82
303,-0.6369,0.154,0.154,0.0,@CNN,2018-10-08 04:48:01,RT @KarenMonahan01: I am willing to sit in the same TV studio as Keith Ellison and have a civil conversation regarding the abuse on live TV…,83
304,0.6597,0.0,0.0,0.252,@CNN,2018-10-08 04:47:59,@CNN This is from the same sources that gave Hillary a 95% chance of winning the election isn't it?,84
305,-0.1779,0.105,0.105,0.073,@CNN,2018-10-08 04:47:56,"RT @CNN: Holding global warming to a critical limit would require ""rapid, far-reaching and unprecedented changes in all aspects of society,…",85
306,0.2732,0.086,0.086,0.129,@CNN,2018-10-08 04:47:56,RT @WI_Pool_Player: @JudicialWatch Here you go @ChrisCuomo here is MORE proof you and @CNN refuse to cover. Try some honest reporting. Not…,86
307,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:47:55,RT @ericgarland: Hey @CNN @BBCWorld @NBCNews @washingtonpost put reporters on this and either confirm it or show he's a propagandist who ne…,87
308,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:47:54,RT @CNN: Officer who shot Tamir Rice hired by small police department in Ohio https://t.co/CQgDUTGh8p,88
309,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:47:53,RT @CNN: Officer who shot Tamir Rice hired by small police department in Ohio https://t.co/CQgDUTGh8p,89
310,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:47:53,RT @fanniew08: Did the American people get an answer? @CBSNews @NBCNews @ABC @SenatorCollins @JeffFlake @senjudiciary @KamalaHarris @SenFei…,90
311,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:47:52,RT @Stephe96: @St_Louis_Ray @JackPosobiec @CNN @CNN is #HateNews as long as @kaitlancollins remains employed,91
312,-0.3818,0.148,0.148,0.0,@CNN,2018-10-08 04:47:50,RT @CNN: Tropical Storm Michael will likely slam the US as a hurricane this week https://t.co/h2IeeDR5An https://t.co/6aDzhTq0vy,92
313,0.128,0.106,0.106,0.128,@CNN,2018-10-08 04:47:48,"RT @RealDrGina: On @CNN just now a woman said she isn’t welcome at a #TrumpRally. That’s ridiculous on its face, considering @KatrinaPierso…",93
314,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:47:48,"RT @CNN: Millennials could be one of the biggest political forces in America today, if they wanted https://t.co/qFhmYmijAK https://t.co/HKw…",94
315,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:49:28,@JUSTICE4MAGA @SenWarren @SenateGOP @realDonaldTrump @MSNBC @nbc @maddow @chrislhayes @CNN @nytimes @politico Thank… https://t.co/NgDk6cDnoB,95
316,-0.34,0.246,0.246,0.176,@CNN,2018-10-08 04:49:27,"@CNN Shit in to one hand
Hope into the other

See which fills up first 

We're McFucked since no change will happen because of greed",96
317,-0.128,0.254,0.254,0.225,@CNN,2018-10-08 04:49:26,@LEBENFOUR @CNN How about her stepsons killing beautiful and endangered animals?,97
318,0.0482,0.12,0.12,0.13,@CNN,2018-10-08 04:49:26,Climate Change Report on @CNN not good at all. We need to do more.. Be more responsible,98
319,0.3182,0.0,0.0,0.091,@CNN,2018-10-08 04:49:26,"RT @RealTonyTucci: @kaitlancollins Hi @CNN, those of us right of center are curious how you will react to this.

Same rules apply to Kaitla…",99
320,-0.9245,0.458,0.458,0.055,@CNN,2018-10-08 04:49:25,"RT @Ostrov_A: I’m starting to understand the growing gross distrust of mainstream media!

Palestinian terrorist savagely ties up two Israel…",100
321,-0.3818,0.126,0.126,0.0,@CNN,2018-10-08 04:49:24,"RT @LogCabinGOP: Past tweets reveal @CNN reporter @kaitlancollins called people “fag” and was uncomfortable around lesbians.

cc: @CNNPR @m…",101
322,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:49:23,"RT @ArthurSchwartz: “A spokesperson for CNN did not immediately return a request for comment.”

If a Fox News reporter tweeted this garbage…",102
323,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:49:22,@CNN Real life shredder,103
324,-0.6369,0.201,0.201,0.042,@CNN,2018-10-08 04:49:19,@CNN If she was so minded she should have abstained. She has no shame. She is basically saying that she backed that… https://t.co/gBH2DLHt6y,104
325,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:49:19,RT @fanniew08: Did the American people get an answer? @CBSNews @NBCNews @ABC @SenatorCollins @JeffFlake @senjudiciary @KamalaHarris @SenFei…,105
326,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:49:18,RT @CNN: Officer who shot Tamir Rice hired by small police department in Ohio https://t.co/CQgDUTGh8p,106
327,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:49:18,RT @NaiHair: @CNN from Brazil #FraudeNasUrnasEletronicas,107
328,-0.1779,0.105,0.105,0.073,@CNN,2018-10-08 04:49:15,"RT @CNN: Holding global warming to a critical limit would require ""rapid, far-reaching and unprecedented changes in all aspects of society,…",108
329,-0.2869,0.158,0.158,0.108,@CNN,2018-10-08 04:49:15,"RT @Jali_Cat: 🚨ATTN @TheDemocrats 🚨

📢@KarenMonahan01 is ready to tell her story about how @keithellison abused her‼️‼️

Hello?? Anyone the…",109
330,0.1779,0.084,0.084,0.116,@CNN,2018-10-08 04:49:14,"RT @CNN: Millennials are a massive voting bloc, capable of setting policy priorities and swinging elections -- and they're grossly underrep…",110
331,-0.1779,0.459,0.459,0.0,@CNN,2018-10-08 04:49:14,@CNN Seriously. https://t.co/CX9cCN0w1p,111
332,0.4939,0.0,0.0,0.344,@CNN,2018-10-08 04:49:14,Taylor Swift endorses Democrats in Tennessee midterm races @CNN https://t.co/yWnQNmBts2,112
333,-0.3818,0.148,0.148,0.0,@CNN,2018-10-08 04:49:11,RT @CNN: Tropical Storm Michael will likely slam the US as a hurricane this week https://t.co/h2IeeDR5An https://t.co/6aDzhTq0vy,113
334,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:49:08,@Rhys604 @fanniew08 @CBSNews @NBCNews @ABC @SenatorCollins @JeffFlake @senjudiciary @KamalaHarris @SenFeinstein… https://t.co/SzGQM1xdcX,114
335,0.5106,0.0,0.0,0.125,@CNN,2018-10-08 04:49:07,"RT @CNN: Which world leader do people trust most? Here are findings from a new global survey by the Pew Research Center.

Angela Merkel - 5…",115
336,-0.7845,0.239,0.239,0.0,@CNN,2018-10-08 04:49:07,"RT @rlpage_insp: In 2007, Al Gore predicted that in ""10 years"" there would be an earth climate catastrophe. But ignore, that and believe th…",116
337,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:49:06,"RT @maydaymindy9: Did anyone else take a break from Political News Shows @MSNBC &amp; @CNN this weekend? 
If you did do you feel alittle better…",117
338,0.0,0.0,0.0,0.0,@CNN,2018-10-08 04:49:06,@mdornic @LogCabinGOP @CNN @kaitlancollins @CNNPR @SamFeistCNN @DavidChalian Just remember if CNN is in their bio it means hypocrite !,118
339,0.4019,0.048,0.048,0.116,@CNN,2018-10-08 04:49:04,RT @JohnWesleyShipp: ❗️This is a good place to leave it for today @msnbc @cnn @nytimes @washingtonpost “if you are in opposition to my huma…,119
340,0.34,0.085,0.085,0.14,@FoxNews,2018-10-08 04:49:30,"RT @FoxNews: .@dbongino: ""We've now seen tax cuts, a boom in the economy, two Supreme Court justices— we're only two years in."" https://t.c…",1
